Country Name,Country Code,Population ages 65 and above (% of total population),
Aruba,ABW,16.3690434830945,
Africa Eastern and Southern,AFE,3.28646292312111,
Afghanistan,AFG,2.37753752819851,
Africa Western and Central,AFW,2.96224838411953,
Angola,AGO,2.81144936806097,
Albania,ALB,16.3020000675759,
Andorra,AND,15.4181507865836,
Arab World,ARB,4.51953659979043,
United Arab Emirates,ARE,1.69563170962521,
Argentina,ARG,12.2030217969226,
Armenia,ARM,13.2110458915952,
American Samoa,ASM,7.5503461627491,
Antigua and Barbuda,ATG,11.2387545477439,
Australia,AUS,17.384024966198,
Austria,AUT,20.1640196753077,
Azerbaijan,AZE,8.01054873196477,
Burundi,BDI,2.51029451549531,
Belgium,BEL,20.1452749547016,
Benin,BEN,3.08788133145022,
Burkina Faso,BFA,2.62071297835956,
Bangladesh,BGD,6.32054805417649,
Bulgaria,BGR,21.8324383446666,
Bahrain,BHR,3.63800440284889,
"Bahamas, The",BHS,11.4979577684286,
Bosnia and Herzegovina,BIH,21.642423894209,
Belarus,BLR,17.0619745317958,
Belize,BLZ,4.84133634796907,
Bermuda,BMU,20.9117747071007,
Bolivia,BOL,5.55046673477261,
Brazil,BRA,10.6336314676644,
Barbados,BRB,16.093413521478,
Brunei Darussalam,BRN,6.51107912979343,
Bhutan,BTN,6.36869980988956,
Botswana,BWA,3.96966911931465,
Central African Republic,CAF,2.09527735556521,
Canada,CAN,19.3581192161771,
Central Europe and the Baltics,CEB,20.1122124942261,
Switzerland,CHE,19.6113808360035,
Channel Islands,CHI,19.6643837046004,
Chile,CHL,13.6933190598527,
China,CHN,14.3160774690688,
Cote d'Ivoire,CIV,2.56824227080234,
Cameroon,CMR,2.77483940805466,
"Congo, Dem. Rep.",COD,3.06835640281401,
"Congo, Rep.",COG,2.91461025071629,
Colombia,COL,9.37542803553496,
Comoros,COM,4.47290468927676,
Cabo Verde,CPV,6.57945496194459,
Costa Rica,CRI,11.7188426539051,
Caribbean small states,CSS,8.8501489184775,
Cuba,CUB,16.1955286378621,
Curacao,CUW,16.2818791222422,
Cayman Islands,CYM,8.54144417974205,
Cyprus,CYP,14.3232720596026,
